psraid,sample,state,cregion,usr,eminuse,intmob,pialql1,smart1,SmartPhone,pial1,pial2,pial3,pial4,pial5,pial6,pial7,pial8,employ,par,sex,age,educ2,hisp,race,inc,weight,standwt
100009,1,37,3,U,1,1,1,8,2,2,2,2,2,2, ,2, ,1,2,2,60,7,2,1,6,1.78260869565217,.426669641560037
100019,1,37,3,U,1,1,1,1,1,2,2,2,2,2, ,2, ,1,2,2,60,6,2,1,8,1.43478260869565,.343417028572713
100022,1,51,3,U,1,1,1,2,2,2,2,1,2,2, ,2, ,3,2,1,79,5,2,1,5,1.73913043478261,.416263064936622
100025,1,42,1,S,1,1,1,1,1,2,2,2,2,2, ,2, ,3,2,1,50,6,2,1,9,2.56521739130435,.613988020781517
100026,1,18,2,U,2,2,1,2,2, , , , ,2, ,2, ,3,2,1,62,3,2,1,1,4.43478260869565,1.06147081558839
100027,1,25,1,S,1,2,1,1,1,2,2,2,2,2, ,2, ,3,1,2,46,8,2,1,8,5.08695652173913,1.21756946493962
100032,1,12,3,U,1,1,1,1,1,1,1,2,1,2, ,1,6,3,2,2,19,4,2,1,99,7.04347826086957,1.68586541299332
100035,1,36,1,U,1,2,1,2,2,2,2,2,2,2, ,2, ,3,2,2,48,6,2,1,6,2.43478260869565,.582768290911271
100038,1,18,2,R,2,2,1,2,2, , , , ,2, ,2, ,3,2,2,62,3,2,1,4,2.82608695652174,.676427480522011
100044,1,47,3,U,1,1,1,1,1,1,1,2,1,2, ,2, ,2,1,2,44,8,2,1,6,3.82608695652174,.915778742860568
100049,1,37,3,S,1,1,1,2,2,1,1,1,1,2, ,2, ,3,1,2,52,5,2,1,6,5.26086956521739,1.25919577143328
100050,1,25,1,S,1,1,1,2,2,2,2,2,2,2, ,2, ,2,2,1,82,4,2,1,2,1.78260869565217,.426669641560037
100060,1,1,3,U,1,2,1,2,2,1,2,2,2,2, ,2, ,3,2,2,72,6,2,1,6,1.26086956521739,.301790722079051
100070,1,17,2,S,1,2,1,2,2,2,2,2,2,2, ,2, ,1,2,1,62,3,2,1,8,4.82608695652174,1.15513000519913
100081,1,17,2,S,1,1,1,1,1,2,2,2,2,2, ,2, ,3,2,1,73,6,2,1,9,1.26086956521739,.301790722079051
100083,1,29,2,S,2,2,2, ,3, , , , , , , , ,3,2,2,66,2,2,2,1,5.21739130434783,1.24878919480987
100093,1,5,3,R,2,2,2, ,3, , , , , , , , ,1,2,2,61,4,2,1,6,7.78260869565217,1.86277721559138
100095,1,18,2,R,1,1,1,1,1,2,2,2,2,2, ,2, ,2,2,1,52,5,2,1,4,2.26086956521739,.541141984417608
100105,1,18,2,R,1,1,1,1,1,1,1,1,1,2, ,2, ,3,2,2,26,4,2,1,99,4.91304347826087,1.17594315844596
100109,1,18,2,S,2,2,1,1,1, , , , ,2, ,2, ,1,2,1,60,6,2,1,7,1.47826086956522,.353823605196129
100111,1,12,3,R,1,1,1,1,1,1,1,2,2,2, ,2, ,3,2,1,22,3,2,9,2,4.30434782608696,1.03025108571814
